R (x, z) [in]|L (x, z) [in]|angle [deg]|counts|live time [s]|rate [cps]|filename
21, 94.5|38, 90.5|51|367629|401.28|916.14|CORNER_ROT1_51
18, 94.5|34, 88.5|51|330276|365.83|902.81|CORNER_ROT2_51
19.5, 94.5|36, 89.5|51|216369|237.26|911.95|CORNER_ROT3_51
22.5, 94|40, 89.5|51|234686|259.88|903.06|CORNER_ROT4_51
21.5, 94.5|38.5, 89.5|51|202343|222.97|907.49|CORNER_ROT5_51
21, 94.5|38, 90.5|52.5|166088|183.34|905.90|CORNER_ROT1_52.5
21, 94.5|38, 90.5|49.5|344448|374.76|919.12|CORNER_ROT1_49.5
21, 94.5|38, 90.5|47.5|237363|257.88|920.44|CORNER_ROT1_47.5
21, 94.5|38, 90.5|46.5|207432|225.10|921.51|CORNER_ROT1_46.5
21, 94,5|38, 90.5|44|142673|156.22|913.28|CORNER_ROT1_44
21, 94.5|38, 90.5|45|152130|166.38|914.35|CORNER_ROT1_45
