R|L|theta|live time [s]|counts|cps [hz]|file
87, 209.5|87, 192|59|345.38|42938|124.75|SE_CORNER_ANGLES_1
87, 209.5|87, 192|56.5|180.31|22466|125.04|SE_CORNER_ANGLES_2
87, 209.5|87, 192|51.5|453.19|57028|126.29|SE_CORNER_ANGLES_3
77.5, 232.5|77.5, 215|51.5|11900|2733564|229.71|SE_CORNER_ANGLES_4
112, 218.5|112, 201|51.5|1452.87|257289|177.90|SE_1
112, 218.5|112, 201|57.5|1011.56|183447|182.20|SE_2
112, 218.5|112, 201|68|184.06|35920|196.16|SE_3
112, 218.5|112, 201|70|263.74|53285|203.06|SE_4
112, 218.5|112, 201|74|539.16|112506|209.76|SE_5
112, 218.5|112, 201|77.5|307.09|65780|215.36|SE_6
112, 218.5|112, 201|79.5|188.80|41186|219.33|SE_7
112, 218.5|112, 201|82.5|182.39|40952|225.79|SE_8
112, 218.5|112, 201|85.5|155.98|35928|231.69|SE_9
112, 218.5|112, 201|90|190.64|44965|237.24|SE_10
112, 218.5|112, 201|94|147.92|35528|241.64|SE_11
112, 218.5|112, 201|97|191.59|45385|238.25|SE_12
112, 218.5|112, 201|101|131.26|30964|237.33|SE_13
