cycle,start_date,end_date,date_precision,schedule_basis,record_status,source_title,source_url,source_doi,source_publication_date,retrieved_date
490A,2021-02-23,2021-02-23,day,actual,complete,ORNL/TM-2023/3207 Appendix A page A-3,https://info.ornl.gov/sites/publications/Files/Pub206395.pdf,10.2172/2439884,2024-08,2026-07-15
490B,2021-02-25,2021-02-25,day,actual,complete,ORNL/TM-2023/3207 Appendix A page A-3,https://info.ornl.gov/sites/publications/Files/Pub206395.pdf,10.2172/2439884,2024-08,2026-07-15
490C,2021-03-02,2021-03-27,day,actual,complete,ORNL/TM-2023/3207 Appendix A page A-3,https://info.ornl.gov/sites/publications/Files/Pub206395.pdf,10.2172/2439884,2024-08,2026-07-15
491,2021-04-13,2021-05-08,day,actual,complete,ORNL/TM-2023/3207 Appendix A page A-3,https://info.ornl.gov/sites/publications/Files/Pub206395.pdf,10.2172/2439884,2024-08,2026-07-15
492,2021-05-25,2021-06-19,day,actual,complete,ORNL/TM-2023/3207 Appendix A page A-3,https://info.ornl.gov/sites/publications/Files/Pub206395.pdf,10.2172/2439884,2024-08,2026-07-15
493,2021-06-29,2021-07-25,day,actual,complete,ORNL/TM-2023/3207 Appendix A page A-3,https://info.ornl.gov/sites/publications/Files/Pub206395.pdf,10.2172/2439884,2024-08,2026-07-15
494,2021-08-09,2021-09-04,day,actual,complete,ORNL/TM-2023/3207 Appendix A page A-3,https://info.ornl.gov/sites/publications/Files/Pub206395.pdf,10.2172/2439884,2024-08,2026-07-15
495,2021-09-21,2021-10-17,day,actual,complete,ORNL/TM-2023/3207 Appendix A page A-3,https://info.ornl.gov/sites/publications/Files/Pub206395.pdf,10.2172/2439884,2024-08,2026-07-15
496A,2022-01-04,2022-01-04,day,actual,complete,ORNL/TM-2023/3207 Appendix A page A-3,https://info.ornl.gov/sites/publications/Files/Pub206395.pdf,10.2172/2439884,2024-08,2026-07-15
496B,2022-01-06,2022-01-16,day,actual,complete,ORNL/TM-2023/3207 Appendix A page A-3,https://info.ornl.gov/sites/publications/Files/Pub206395.pdf,10.2172/2439884,2024-08,2026-07-15
496C,2022-01-20,2022-02-04,day,actual,complete,ORNL/TM-2023/3207 Appendix A page A-3,https://info.ornl.gov/sites/publications/Files/Pub206395.pdf,10.2172/2439884,2024-08,2026-07-15
497,2022-02-22,2022-03-20,day,actual,complete,ORNL/TM-2023/3207 Appendix A page A-3,https://info.ornl.gov/sites/publications/Files/Pub206395.pdf,10.2172/2439884,2024-08,2026-07-15
498A,2022-04-05,2022-04-16,day,actual,complete,ORNL/TM-2023/3207 Appendix A page A-3,https://info.ornl.gov/sites/publications/Files/Pub206395.pdf,10.2172/2439884,2024-08,2026-07-15
498B,2022-04-22,2022-05-07,day,actual,complete,ORNL/TM-2023/3207 Appendix A page A-3,https://info.ornl.gov/sites/publications/Files/Pub206395.pdf,10.2172/2439884,2024-08,2026-07-15
499,2022-09-27,2022-10-23,day,actual,complete,ORNL/TM-2023/3207 Appendix A page A-3,https://info.ornl.gov/sites/publications/Files/Pub206395.pdf,10.2172/2439884,2024-08,2026-07-15
