file_id,file_name,run_id,run_name,coordinate_id,detector_face_x_in,detector_face_z_in,live_time_s,counts_50_11400_keV,statistical_error_counts,rate_50_11400_counts_per_s,routine_point,calibration_A0_keV,calibration_A1_keV_per_channel,representative_point
47,HB4_DOWN_13,113,position_scan_3_HB4_DOWN_13,113,126.5,284.2,214.57,99118.0,314.8301129180625,461.9378291466654,True,-0.023417101841509663,0.6994146895139429,False
61,HB4_DOWN_14,114,position_scan_3_HB4_DOWN_14,114,151.0,284.2,185.99,72430.0,269.12822222873615,389.42953922253884,True,-0.023417101841509663,0.6994146895139429,False
86,PROSPECT_DOWN_23,39,position_scan_7_PROSPECT_DOWN_23,39,38.3,183.5,263.89,8453.0,91.94019795497506,32.03228617984767,True,-0.2889562578243986,0.6994008394878689,False
100,HB3_DOWN_16,82,position_scan_8_HB3_DOWN_16,82,99.0,84.7,287.2,31849.0,178.4628812946827,110.89484679665739,True,-0.2889562578243986,0.6994008394878689,False
111,HB4_DOWN_17,117,position_scan_3_HB4_DOWN_17,117,101.0,250.2,316.6,110469.0,332.3687710962027,348.92293114339856,True,-0.023417101841509663,0.6994146895139429,False
122,HB4_DOWN_60,141,position_scan_6_HB4_DOWN_60,141,93.0,403.7,215.28,51400.0,226.71568097509268,238.75882571534746,True,-0.2889562578243986,0.6994008394878689,False
131,HB4_DOWN_15,115,position_scan_3_HB4_DOWN_15,115,82.5,250.2,362.46,104675.0,323.5351603767356,288.7904872261767,True,-0.023417101841509663,0.6994146895139429,False
147,HB4_DOWN_43,124,position_scan_6_HB4_DOWN_43,124,74.0,344.7,393.45,149125.0,386.16706229299257,379.0189350616343,True,-0.2889562578243986,0.6994008394878689,False
151,HB4_DOWN_40,121,position_scan_6_HB4_DOWN_40,121,37.5,344.7,288.99,63667.0,252.32320543303186,220.30866119934944,True,-0.2889562578243986,0.6994008394878689,False
175,PROSPECT_DOWN_2,147,position_scan_6_PROSPECT_DOWN_2,147,59.5,217.2,241.05,15539.0,124.65552534885889,64.46380419000207,True,-0.2889562578243986,0.6994008394878689,False
182,PROSPECT_DOWN_30,46,position_scan_7_PROSPECT_DOWN_30,39,38.3,183.5,137.46,4290.0,65.49809157525127,31.209079004801396,True,-0.2889562578243986,0.6994008394878689,False
194,PROSPECT_DOWN_18,163,position_scan_6_PROSPECT_DOWN_18,163,162.5,159.7,173.91,15388.0,124.04837765968566,88.48254844459778,True,-0.2889562578243986,0.6994008394878689,False
198,HB3_DOWN_4,70,position_scan_8_HB3_DOWN_4,70,76.0,138.7,261.88,24193.0,155.54099138169335,92.38200702611883,True,-0.2889562578243986,0.6994008394878689,False
250,HB4_DOWN_27,7,position_scan_4_HB4_DOWN_27,7,107.5,314.2,296.94,167718.0,409.5338813822368,564.8211759951505,True,-0.023417101841509663,0.6994146895139429,False
251,HB4_DOWN_6,106,position_scan_3_HB4_DOWN_6,106,82.5,284.2,199.39,86503.0,294.1139235058415,433.83820652991625,True,-0.023417101841509663,0.6994146895139429,False
264,HB4_DOWN_10,110,position_scan_3_HB4_DOWN_10,110,109.0,284.2,232.83,113599.0,337.0445074467169,487.9053386591075,True,-0.023417101841509663,0.6994146895139429,False
281,PROSPECT_DOWN_3,148,position_scan_6_PROSPECT_DOWN_3,148,85.0,217.2,168.14,17598.0,132.6574536164478,104.66278101582016,True,-0.2889562578243986,0.6994008394878689,False
291,HB4_DOWN_36,96,position_scan_5_HB4_DOWN_36,91,67.0,302.7,312.71,125372.0,354.07908721075296,400.9209811007004,True,0.0,0.699042,False
298,HB3_DOWN_18,84,position_scan_8_HB3_DOWN_18,84,160.0,84.7,265.97,25825.0,160.70158679988197,97.0974170019175,True,-0.2889562578243986,0.6994008394878689,False
299,HB3_DOWN_7,73,position_scan_8_HB3_DOWN_7,73,160.5,138.7,278.04,20304.0,142.492105044455,73.02546396201984,True,-0.2889562578243986,0.6994008394878689,False
313,HB4_DOWN_47,128,position_scan_6_HB4_DOWN_47,128,127.0,344.7,336.32,154063.0,392.50859863192807,458.08456232159847,True,-0.2889562578243986,0.6994008394878689,False
320,HB4_DOWN_45,126,position_scan_6_HB4_DOWN_45,126,100.0,344.7,290.22,127270.0,356.749211631925,438.52939149610637,True,-0.2889562578243986,0.6994008394878689,False
344,HB4_DOWN_25,5,position_scan_4_HB4_DOWN_25,5,85.5,314.2,294.92,153710.0,392.05866907900406,521.1921877119219,True,-0.023417101841509663,0.6994146895139429,False
353,PROSPECT_DOWN_15,160,position_scan_6_PROSPECT_DOWN_15,160,98.0,159.7,173.91,12867.0,113.43279948938931,73.98654476453338,True,-0.2889562578243986,0.6994008394878689,False
362,HB4_DOWN_52,133,position_scan_6_HB4_DOWN_52,133,76.0,374.7,192.67,53187.0,230.62306909760784,276.05231743395444,True,-0.2889562578243986,0.6994008394878689,False
365,HB4_DOWN_55,136,position_scan_6_HB4_DOWN_55,136,123.0,374.7,129.12,36327.0,190.59643228560182,281.34293680297395,True,-0.2889562578243986,0.6994008394878689,False
392,HB4_DOWN_26,6,position_scan_4_HB4_DOWN_26,6,98.5,314.2,252.13,139985.0,374.1456935473132,555.2096140879705,True,-0.023417101841509663,0.6994146895139429,False
429,HB4_DOWN_56,137,position_scan_6_HB4_DOWN_56,137,139.0,374.7,392.1,108899.0,329.99848484500654,277.73272124458043,True,-0.2889562578243986,0.6994008394878689,False
459,HB3_DOWN_13,79,position_scan_8_HB3_DOWN_13,79,40.5,84.7,367.22,223525.0,472.78430600010404,608.6950601819073,True,-0.2889562578243986,0.6994008394878689,False
476,HB4_DOWN_8,108,position_scan_3_HB4_DOWN_8,108,96.0,284.2,176.57,84070.0,289.9482712485108,476.12844764116215,True,-0.023417101841509663,0.6994146895139429,False
