file_id,file_name,energy_min_keV,energy_max_keV,energy_keV,bin_width_keV,counts,statistical_error_counts,rate_counts_per_s,rate_counts_per_s_per_keV,statistical_error_counts_per_s_per_keV
1729,HB4_DOWN_2,50.0,52.0,51.0,2.0,71.0,8.426149773176359,0.3283236994219653,0.16416184971098266,0.019482427221217014
1729,HB4_DOWN_2,52.0,54.0,53.0,2.0,82.0,9.055385138137417,0.3791907514450867,0.18959537572254334,0.020937306677774374
1729,HB4_DOWN_2,54.0,56.0,55.0,2.0,107.0,10.344080432788601,0.49479768786127165,0.24739884393063583,0.0239169489775459
1729,HB4_DOWN_2,56.0,58.0,57.0,2.0,54.0,7.3484692283495345,0.24971098265895952,0.12485549132947976,0.01699068029676193
1729,HB4_DOWN_2,58.0,60.0,59.0,2.0,110.0,10.488088481701515,0.5086705202312138,0.2543352601156069,0.024249915564627782
1729,HB4_DOWN_2,60.0,62.0,61.0,2.0,72.0,8.48528137423857,0.3329479768786127,0.16647398843930636,0.01961914768610074
1729,HB4_DOWN_2,62.0,64.0,63.0,2.0,94.0,9.695359714832659,0.4346820809248555,0.21734104046242775,0.022417016681694008
1729,HB4_DOWN_2,64.0,66.0,65.0,2.0,101.0,10.04987562112089,0.46705202312138727,0.23352601156069364,0.023236706638429805
1729,HB4_DOWN_2,66.0,68.0,67.0,2.0,107.0,10.344080432788601,0.49479768786127165,0.24739884393063583,0.0239169489775459
1729,HB4_DOWN_2,68.0,70.0,69.0,2.0,102.0,10.099504938362077,0.47167630057803467,0.23583815028901733,0.023351456504883416
1729,HB4_DOWN_2,70.0,72.0,71.0,2.0,54.0,7.3484692283495345,0.24971098265895952,0.12485549132947976,0.01699068029676193
1729,HB4_DOWN_2,72.0,74.0,73.0,2.0,111.0,10.535653752852738,0.5132947976878612,0.2566473988439306,0.02435989307017974
1729,HB4_DOWN_2,74.0,76.0,75.0,2.0,160.0,12.649110640673518,0.7398843930635838,0.3699421965317919,0.029246498591152643
1729,HB4_DOWN_2,76.0,78.0,77.0,2.0,132.0,11.489125293076057,0.6104046242774567,0.30520231213872834,0.026564451544684526
1729,HB4_DOWN_2,78.0,80.0,79.0,2.0,54.0,7.3484692283495345,0.24971098265895952,0.12485549132947976,0.01699068029676193
1729,HB4_DOWN_2,80.0,82.0,81.0,2.0,69.0,8.306623862918075,0.3190751445086705,0.15953757225433526,0.019206066735070693
1729,HB4_DOWN_2,82.0,84.0,83.0,2.0,71.0,8.426149773176359,0.3283236994219653,0.16416184971098266,0.019482427221217014
1729,HB4_DOWN_2,84.0,86.0,85.0,2.0,71.0,8.426149773176359,0.3283236994219653,0.16416184971098266,0.019482427221217014
1729,HB4_DOWN_2,86.0,88.0,87.0,2.0,102.0,10.099504938362077,0.47167630057803467,0.23583815028901733,0.023351456504883416
1729,HB4_DOWN_2,88.0,90.0,89.0,2.0,70.0,8.366600265340756,0.3236994219653179,0.16184971098265896,0.0193447404978977
1729,HB4_DOWN_2,90.0,92.0,91.0,2.0,57.0,7.54983443527075,0.2635838150289017,0.13179190751445086,0.017456264590221388
1729,HB4_DOWN_2,92.0,94.0,93.0,2.0,67.0,8.18535277187245,0.30982658959537573,0.15491329479768787,0.018925671148838037
1729,HB4_DOWN_2,94.0,96.0,95.0,2.0,59.0,7.681145747868608,0.2728323699421965,0.13641618497109825,0.017759874561545912
1729,HB4_DOWN_2,96.0,98.0,97.0,2.0,57.0,7.54983443527075,0.2635838150289017,0.13179190751445086,0.017456264590221388
1729,HB4_DOWN_2,98.0,100.0,99.0,2.0,57.0,7.54983443527075,0.2635838150289017,0.13179190751445086,0.017456264590221388
1729,HB4_DOWN_2,100.0,102.0,101.0,2.0,28.0,5.291502622129181,0.12947976878612716,0.06473988439306358,0.012234688143651286
1729,HB4_DOWN_2,102.0,104.0,103.0,2.0,48.0,6.928203230275509,0.22196531791907514,0.11098265895953757,0.01601896700641736
1729,HB4_DOWN_2,104.0,106.0,105.0,2.0,46.0,6.782329983125268,0.21271676300578035,0.10635838150289018,0.015681687822254955
1729,HB4_DOWN_2,106.0,108.0,107.0,2.0,60.0,7.745966692414834,0.2774566473988439,0.13872832369942195,0.017909749577837766
1729,HB4_DOWN_2,108.0,110.0,109.0,2.0,62.0,7.874007874011811,0.28670520231213875,0.14335260115606938,0.018205798552628466
1729,HB4_DOWN_2,110.0,112.0,111.0,2.0,63.0,7.937253933193772,0.29132947976878615,0.14566473988439307,0.01835203221547693
1729,HB4_DOWN_2,112.0,114.0,113.0,2.0,61.0,7.810249675906654,0.28208092485549136,0.14104046242774568,0.018058380753541395
1729,HB4_DOWN_2,114.0,116.0,115.0,2.0,35.0,5.916079783099616,0.16184971098265896,0.08092485549132948,0.013678797186357493
1729,HB4_DOWN_2,116.0,118.0,117.0,2.0,54.0,7.3484692283495345,0.24971098265895952,0.12485549132947976,0.01699068029676193
1729,HB4_DOWN_2,118.0,120.0,119.0,2.0,63.0,7.937253933193772,0.29132947976878615,0.14566473988439307,0.01835203221547693
1729,HB4_DOWN_2,120.0,122.0,121.0,2.0,58.0,7.615773105863909,0.2682080924855491,0.13410404624277455,0.017608723944194007
1729,HB4_DOWN_2,122.0,124.0,123.0,2.0,51.0,7.14142842854285,0.23583815028901733,0.11791907514450867,0.01651197324518578
1729,HB4_DOWN_2,124.0,126.0,125.0,2.0,46.0,6.782329983125268,0.21271676300578035,0.10635838150289018,0.015681687822254955
1729,HB4_DOWN_2,126.0,128.0,127.0,2.0,61.0,7.810249675906654,0.28208092485549136,0.14104046242774568,0.018058380753541395
1729,HB4_DOWN_2,128.0,130.0,129.0,2.0,36.0,6.0,0.16647398843930636,0.08323699421965318,0.013872832369942197
1729,HB4_DOWN_2,130.0,132.0,131.0,2.0,47.0,6.855654600401044,0.21734104046242775,0.10867052023121387,0.015851224509597788
1729,HB4_DOWN_2,132.0,134.0,133.0,2.0,46.0,6.782329983125268,0.21271676300578035,0.10635838150289018,0.015681687822254955
1729,HB4_DOWN_2,134.0,136.0,135.0,2.0,64.0,8.0,0.29595375722543354,0.14797687861271677,0.018497109826589597
1729,HB4_DOWN_2,136.0,138.0,137.0,2.0,47.0,6.855654600401044,0.21734104046242775,0.10867052023121387,0.015851224509597788
